neurons,rho,sigma,init_trr_err,fun,err_tr,jac_norm,err_val
150,1.00E-05,1,2.94187163,0.002978774,0.00027705,3.99E-05,0.000624625
100,1.00E-05,1,3.648804797,0.003028201,0.000258898,3.38E-05,0.00055564
100,1.00E-05,1.1,3.039743796,0.002661806,0.000213934,3.27E-05,0.000575732
100,1.00E-05,1.2,1.404372,0.002407105,0.000188449,4.05E-05,0.000603546
75,1.00E-05,1,2.998395671,0.0029342,0.000255271,3.32E-05,0.00082042
50,1.00E-05,1.2,4.913442601,0.002348615,0.000181807,2.89E-05,0.000658383
50,1.00E-05,1.1,6.048394441,0.002613407,0.000223393,3.33E-05,0.001182284
50,1.00E-05,1,2.626625277,0.002957982,0.000255404,3.12E-05,0.001567935
35,1.00E-05,1.1,1.79788989,0.002677358,0.00022133,3.64E-05,0.000404439
35,1.00E-05,1.2,1.109724601,0.002386192,0.000184053,3.68E-05,0.000506383
35,1.00E-05,1,2.279259706,0.003005355,0.000282307,3.43E-05,0.001654266
35,0.001,1.2,0.622444539,0.085793538,0.035113594,2.34E-05,0.05317351
35,0.001,1,0.996267328,0.100395891,0.041840791,2.51E-05,0.056469512
35,0.001,1.1,0.566908366,0.092731673,0.038973462,2.45E-05,0.069913991
33,1.00E-05,1.1,1.974145135,0.002689916,0.000222146,3.68E-05,0.000484393
33,1.00E-05,1.2,4.619579406,0.002393588,0.000186437,2.77E-05,0.000803674
33,1.00E-05,1,2.221982218,0.002971982,0.000265726,3.16E-05,0.001515415
33,0.001,1,2.465714229,0.100540719,0.039971952,1.98E-05,0.044117965
33,0.001,1.2,7.970282982,0.086468859,0.036873037,2.25E-05,0.053210884
33,0.001,1.1,0.589532116,0.09269214,0.039197039,2.61E-05,0.072427117
32,1.00E-05,1.2,0.862701176,0.002420672,0.000188027,2.80E-05,0.000454391
32,1.00E-05,1.1,1.641963306,0.002705251,0.000208131,3.73E-05,0.000507737
32,1.00E-05,1,2.046510381,0.003051392,0.000270102,3.47E-05,0.000577205
31,1.00E-05,1.2,0.569766268,0.00239956,0.00020626,2.96E-05,0.000567971
31,1.00E-05,1.1,1.003971976,0.002670543,0.000232877,3.30E-05,0.000590234
31,1.00E-05,1,3.046062798,0.002976187,0.000260181,3.24E-05,0.001047804
31,0.001,1.2,0.603978435,0.085804335,0.035781285,1.66E-05,0.05551318
31,0.001,1,3.168626455,0.09901802,0.040070404,2.18E-05,0.059798826
31,0.001,1.1,1.791844443,0.092880093,0.039425729,2.97E-05,0.066677446
30,1.00E-05,1.2,0.836753447,0.002446255,0.000209574,3.00E-05,0.000484747
30,1.00E-05,1,2.897949499,0.003019689,0.000262661,3.78E-05,0.000880422
30,1.00E-05,1.1,1.008959367,0.002679756,0.000244666,3.03E-05,0.000976916
29,1.00E-05,1.2,1.136754912,0.002425815,0.000203139,3.33E-05,0.000398551
29,1.00E-05,1.1,4.388181031,0.002665916,0.000234652,3.75E-05,0.000646783
29,1.00E-05,1,2.007923988,0.002996079,0.000258045,3.27E-05,0.00105121
29,0.001,1.1,1.056275928,0.09184572,0.037773485,1.78E-05,0.05556166
29,0.001,1.2,2.048059031,0.088841662,0.038521132,2.56E-05,0.063670408
29,0.001,1,1.030748145,0.096480496,0.038004901,2.69E-05,0.069603105
28,1.00E-05,1,0.541374137,0.003071114,0.000267971,3.14E-05,0.000362301
28,1.00E-05,1.2,4.429158087,0.002432275,0.000188667,3.25E-05,0.000647783
28,1.00E-05,1.1,5.597876857,0.002691726,0.000232785,3.76E-05,0.000759826
27,1.00E-05,1.2,0.584578744,0.00242246,0.000193336,2.93E-05,0.000439153
27,1.00E-05,1,1.565710074,0.00303176,0.000264805,3.37E-05,0.00049472
27,1.00E-05,1.1,1.094014693,0.00264746,0.000222447,2.84E-05,0.000926337
27,0.001,1.2,0.540858558,0.089066867,0.037522955,2.18E-05,0.038949552
27,0.001,1.1,0.606347414,0.097029782,0.042036779,2.24E-05,0.043511368
27,0.001,1,3.127298875,0.096821363,0.039784551,2.86E-05,0.090678399
26,1.00E-05,1.2,1.996601056,0.002435546,0.000206866,3.09E-05,0.000443898
26,1.00E-05,1.1,1.082598497,0.002699537,0.000239694,3.64E-05,0.000745305
26,1.00E-05,1,0.414045893,0.003041017,0.000278565,2.87E-05,0.00078721
25,1.00E-05,1.2,2.223887291,0.002429125,0.000205836,2.96E-05,0.000508028
25,1.00E-05,1.1,4.325159853,0.002682484,0.000228817,2.36E-05,0.000552644
25,1.00E-05,1,1.267694957,0.003016234,0.000258748,3.02E-05,0.000743547
25,0.001,1,4.945746084,0.10121898,0.040822391,2.65E-05,0.045672295
25,0.001,1.1,1.45704434,0.095538461,0.03893991,2.51E-05,0.049789234
25,0.001,1.2,1.868181366,0.086245723,0.03639143,2.29E-05,0.055912794
24,1.00E-05,1.1,1.077948173,0.002714628,0.000236564,3.11E-05,0.000486472
24,1.00E-05,1,0.853022246,0.003074596,0.000287985,3.10E-05,0.000697132
24,1.00E-05,1.2,3.571652286,0.002439469,0.00020775,2.93E-05,0.00079998
